,AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL
709,2018,881,8,ESCUELA BASICA MARIA QUITERIA RAMIREZ, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1, , ,0,0,0,0,0,0,0,0,0,0,0,3,9, ,SIN INFORMACION,SIN INFORMACION
710,2018,882,6,ESCUELA CINCO DE ABRIL, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-31,17784473","-71,00208788",0,0,0,0,0,0,0,0,0,0,0,2,7,NO REALIZA,GRATUITO,GRATUITO
711,2018,883,4,ESCUELA BASICA SAN LUIS AMIGO Y FERRER, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-30,97389412","-71,21318054",0,110,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
712,2018,884,2,ESCUELA BASICA JUAN FRANCISCO GONZALEZ, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-31,3543644","-71,02535248",0,110,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
713,2018,885,0,ESCUELA BASICA JESUS DE NAZARETH, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1, , ,0,0,0,0,0,0,0,0,0,0,0,3,9, ,SIN INFORMACION,SIN INFORMACION
714,2018,886,9,ESCUELA LA VARIOLA, ,69040800,1,4,43,4303,MONTE PATRIA,42,LIMARI,2,1,1,"-30,94547462","-70,90211487",0,110,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
715,2018,887,7,ESCUELA BASICA CAUPOLICAN, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-31,20032883","-70,96784973",1,110,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
716,2018,888,5,ESCUELA BASICA BOSQUE DE QUILLAY, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-31,22375488","-70,9404068",1,110,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
717,2018,889,3,ESCUELA BASICA PAUL HARRIS, ,69041100,1,4,43,4302,COMBARBALA,42,LIMARI,2,1,1,"-31,0698452","-71,00546265",0,110,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
718,2018,890,7,ESCUELA PARTICULAR LOS SAPOS, ,65127039,1,4,43,4302,COMBARBALA,42,LIMARI,3,2,1,"-31,137043","-70,95153809",0,110,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
