,AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,ENS_10,ENS_11,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL
454,2019,577,0,COLEGIO JULIA DE LA BARRA CAMPOS,10867442, ,0,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9, ,SIN INFORMACION,SIN INFORMACION
455,2019,578,9,LICEO IGNACIO CARRERA PINTO, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,"-29,901897430000","-71,246246340000",1,110,310,410,510,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
456,2019,579,7,COLEGIO SEMINARIO CONCILIAR, ,65076366,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,905000690000","-71,243148800000",1,110,310,0,0,0,0,0,0,0,0,0,1,1,2, ,$1.000 A $10.000,$50.001 A $100.000
457,2019,580,0,COLEGIO GERONIMO RENDIC, ,88933200,1,4,COQ,41,4101,LA SERENA,41,ELQUI,4,3,0,"-29,904334370000","-71,243463630000",0,10,110,310,0,0,0,0,0,0,0,0,1,1,1, ,MAS DE $100.000,MAS DE $100.000
458,2019,581,9,ESCUELA EXPERIMENTAL DE MUSICA JORGE PEÑA HEN, ,72757900,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,927640910000","-71,254188540000",0,10,110,310,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,$50.001 A $100.000
459,2019,582,7,COLEGIO ANDRES BELLO, ,88703300,1,4,COQ,41,4101,LA SERENA,41,ELQUI,4,3,0,"-29,901097580000","-71,253076120000",0,10,110,310,0,0,0,0,0,0,0,0,1,1,7,HUMANISTA CRISTIANA,$1.000 A $10.000,$50.001 A $100.000
460,2019,583,5,COLEGIO SAGRADOS CORAZONES, ,65189710,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,904663090000","-71,247299190000",1,10,110,310,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,$50.001 A $100.000
461,2019,584,3,JARDIN INFANTIL MONTESSORI, , ,9,4,COQ,41,4101,LA SERENA,41,ELQUI,4,3,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9, ,SIN INFORMACION,SIN INFORMACION
462,2019,585,1,COLEGIO THE INTERNATIONAL SCHOOL, ,50106510,1,4,COQ,41,4101,LA SERENA,41,ELQUI,4,3,0,"-29,932303000000","-71,262230000000",0,10,110,310,0,0,0,0,0,0,0,0,1,1,1, ,MAS DE $100.000,MAS DE $100.000
463,2019,587,8,COLEGIO SERENA,16279903, ,0,4,COQ,41,4101,LA SERENA,41,ELQUI,4,3,0,"-29,915619000000","-71,249150000000",0,110,310,0,0,0,0,0,0,0,0,0,1,1,1, ,MAS DE $100.000,MAS DE $100.000
464,2019,589,4,COLEGIO SANTO DOMINGO, ,65160658,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,921869280000","-71,250228880000",1,110,310,0,0,0,0,0,0,0,0,0,1,1,7,LAICO,GRATUITO,$50.001 A $100.000
465,2019,590,8,COLEGIO PARTICULAR SAN JOSE, ,96753240,1,4,COQ,41,4101,LA SERENA,41,ELQUI,4,3,0,"-29,937367630000","-71,148699050000",0,10,110,310,0,0,0,0,0,0,0,0,1,1,2, ,MAS DE $100.000,MAS DE $100.000
466,2019,591,6,COLEGIO INGLES CATOLICO, ,91770000,1,4,COQ,41,4101,LA SERENA,41,ELQUI,4,3,0,"-29,917365000000","-71,255180000000",0,10,110,310,0,0,0,0,0,0,0,0,1,1,2, ,MAS DE $100.000,MAS DE $100.000
467,2019,592,4,COLEGIO MARIA AUXILIADORA, , ,9,4,COQ,41,4101,LA SERENA,41,ELQUI,4,3,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9, ,SIN INFORMACION,SIN INFORMACION
468,2019,594,0,COLEGIO FRANCISCO DE AGUIRRE, ,65143769,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,929964070000","-71,252998350000",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2, ,GRATUITO,$50.001 A $100.000
469,2019,597,5,COLEGIO PEDRO PABLO MUÑOZ, ,69040200,1,4,COQ,41,4104,LA HIGUERA,41,ELQUI,2,1,0,"-29,510995860000","-71,202369690000",1,10,110,299,310,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
470,2019,598,3,ESCUELA DE PUNTA DE CHOROS, ,69040200,1,4,COQ,41,4104,LA HIGUERA,41,ELQUI,2,1,1,"-29,246044160000","-71,460975650000",0,110,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
471,2019,599,1,ESCUELA JOSE SANTOS OSSA, ,69040200,1,4,COQ,41,4104,LA HIGUERA,41,ELQUI,2,1,1,"-29,373096470000","-71,116203310000",1,110,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
472,2019,600,9,ESCUELA DE AGUA GRANDE, ,69040200,1,4,COQ,41,4104,LA HIGUERA,41,ELQUI,2,1,1, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9, ,SIN INFORMACION,SIN INFORMACION
473,2019,601,7,ESCUELA DE LOS MORROS, ,69040200,1,4,COQ,41,4104,LA HIGUERA,41,ELQUI,2,1,1,"-29,38098551","-70,74277916",0,0,0,0,0,0,0,0,0,0,0,0,0,3,1, ,GRATUITO,GRATUITO
474,2019,602,5,ESCUELA BASICA CARLOS CONDELL, ,69040200,1,4,COQ,41,4104,LA HIGUERA,41,ELQUI,2,1,1,"-29,622200010000","-71,285369870000",1,10,110,363,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
475,2019,604,1,ESCUELA DE PUNTA COLORADA, ,69040200,1,4,COQ,41,4104,LA HIGUERA,41,ELQUI,2,1,1,"-29,353841780000","-71,015518190000",1,110,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
476,2019,606,8,ESCUELA BASICA SAN ANDRES, ,69040200,1,4,COQ,41,4104,LA HIGUERA,41,ELQUI,2,1,1,"-29,446430210000","-71,298767090000",0,110,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
477,2019,607,6,ESCUELA LOS PAJARITOS, , ,9,4,COQ,41,4104,LA HIGUERA,41,ELQUI,2,1,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9, ,SIN INFORMACION,SIN INFORMACION
478,2019,608,4,ESCUELA DE LOS CHOROS, ,69040200,1,4,COQ,41,4104,LA HIGUERA,41,ELQUI,2,1,1,"-29,290912630000","-71,307434080000",0,110,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
479,2019,609,2,INSTITUTO SUPERIOR DE COMERCIO DE COQUIMBO, ,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,0,"-29,960550310000","-71,340126040000",1,410,510,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
480,2019,610,6,LICEO INDUSTRIAL JOSE TOMAS DE URMENETA, ,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,0,"-29,965251920000","-71,347221370000",1,510,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
